file,orf_index,strand,frame,start_nt,end_nt,length_aa,cai_percent,esm2_perplexity
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,5,-,-1,2902,3435,177,59.58,10.9583
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,6,+,2,14840,15358,172,52.87,13.7807
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,7,+,3,14853,15311,152,48.35,13.8226
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,8,-,-1,13798,14211,137,49.12,16.2850
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,9,-,-1,6649,7041,130,56.17,15.1140
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,10,+,1,3040,3372,110,57.10,17.6365
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,11,+,3,2745,3056,103,53.88,16.7005
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,12,-,-2,3627,3935,102,62.70,16.8501
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,13,-,-1,11887,12192,101,48.17,16.6910
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,14,-,-3,14126,14401,91,63.27,14.3143
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,15,+,1,12904,13176,90,47.79,13.8340
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,16,+,1,3895,4161,88,52.38,15.5784
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,17,-,-3,1151,1417,88,51.15,13.7315
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,18,-,-1,12562,12822,86,49.36,14.5432
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,19,-,-1,13009,13260,83,60.04,13.7685
